
Episode:0, Reward: -3130.528931
Episode:1, Reward: -3113.627635
Episode:2, Reward: -3116.094829
Episode:3, Reward: -3062.184266
Episode:4, Reward: -3196.818929
Episode:5, Reward: -3307.891204
Episode:6, Reward: -2988.785584
Episode:7, Reward: -3093.315263
Episode:8, Reward: -3193.187466
Episode:9, Reward: -3066.184441
Episode:10, Reward: -3168.798308
Episode:11, Reward: -3126.535269
Episode:12, Reward: -3050.157156
Episode:13, Reward: -3072.541474
Episode:14, Reward: -3126.765060
Episode:15, Reward: -3115.739925
Episode:16, Reward: -3148.695872
Episode:17, Reward: -3137.817206
Episode:18, Reward: -3120.447701
Episode:19, Reward: -3150.366639
Episode:20, Reward: -3014.391495
Episode:21, Reward: -3070.075632
Episode:22, Reward: -3059.015685
Episode:23, Reward: -3167.255622
Episode:24, Reward: -3164.132912
Episode:25, Reward: -3185.816329
Episode:26, Reward: -3123.157050
Episode:27, Reward: -3276.459705
Episode:28, Reward: -3185.426577
Episode:29, Reward: -3078.595500
Episode:30, Reward: -3014.661127
Episode:31, Reward: -3104.827675
Episode:32, Reward: -3206.498980
Episode:33, Reward: -3134.989073
Episode:34, Reward: -3160.050282
Episode:35, Reward: -3080.676806
Episode:36, Reward: -3059.006133
Episode:37, Reward: -3131.611566
Episode:38, Reward: -3064.124556
Episode:39, Reward: -3092.806018
Episode:40, Reward: -3088.391405
Episode:41, Reward: -3085.477696
Episode:42, Reward: -3117.796540
Episode:43, Reward: -2974.606428
Episode:44, Reward: -3185.700282
Episode:45, Reward: -3128.589832
Episode:46, Reward: -3047.800170
Episode:47, Reward: -3093.274150
Episode:48, Reward: -3115.373460
Episode:49, Reward: -3166.562195
Episode:50, Reward: -3104.657979
Episode:51, Reward: -3220.756837
Episode:52, Reward: -3071.874883
Episode:53, Reward: -3009.184072
Episode:54, Reward: -3207.645984
Episode:55, Reward: -3240.367472
Episode:56, Reward: -3179.520110
Episode:57, Reward: -3167.488908
Episode:58, Reward: -3170.155684
Episode:59, Reward: -2969.915689
Episode:60, Reward: -3014.192231
Episode:61, Reward: -3086.000792
Episode:62, Reward: -3122.573398
Episode:63, Reward: -3157.830415
Episode:64, Reward: -3143.905868
Episode:65, Reward: -2989.517571
Episode:66, Reward: -3037.586422
Episode:67, Reward: -3128.749975
Episode:68, Reward: -3154.500466
Episode:69, Reward: -3194.270613
Episode:70, Reward: -3037.655855
Episode:71, Reward: -3154.693703
Episode:72, Reward: -3161.656456
Episode:73, Reward: -3054.701285
Episode:74, Reward: -3081.743829
Episode:75, Reward: -2979.876097
Episode:76, Reward: -3135.298951
Episode:77, Reward: -3100.233657
Episode:78, Reward: -3106.307612
Episode:79, Reward: -3027.753447
Episode:80, Reward: -3031.394244
Episode:81, Reward: -3036.415959
Episode:82, Reward: -3131.433879
Episode:83, Reward: -3082.929112
Episode:84, Reward: -3146.584209
Episode:85, Reward: -3098.152418
Episode:86, Reward: -3095.139177
Episode:87, Reward: -3107.622707
Episode:88, Reward: -3200.355957
Episode:89, Reward: -3035.911908
Episode:90, Reward: -2996.461358
Episode:91, Reward: -3027.594325
Episode:92, Reward: -3026.901950
Episode:93, Reward: -3098.238522
Episode:94, Reward: -3148.428147
Episode:95, Reward: -3287.925594
Episode:96, Reward: -3162.380685
Episode:97, Reward: -3121.749187
Episode:98, Reward: -3054.043321
Episode:99, Reward: -3155.337863
Episode:100, Reward: -3031.153568
Episode:101, Reward: -3048.109489
Episode:102, Reward: -3166.743453
Episode:103, Reward: -3151.265247
Episode:104, Reward: -3149.191309
Episode:105, Reward: -3081.722118
Episode:106, Reward: -3116.392568
Episode:107, Reward: -3097.364200
Episode:108, Reward: -3052.961622
Episode:109, Reward: -3126.718920
Episode:110, Reward: -3222.654413
Episode:111, Reward: -3149.755144
Episode:112, Reward: -3081.403013
Episode:113, Reward: -3186.696011
Episode:114, Reward: -3213.408026
Episode:115, Reward: -3142.858239
Episode:116, Reward: -3026.631594
Episode:117, Reward: -3215.413683
Episode:118, Reward: -3109.147700
Episode:119, Reward: -3083.636968
Episode:120, Reward: -3156.002339
Episode:121, Reward: -3160.270568
Episode:122, Reward: -3287.759381
Episode:123, Reward: -3277.863017
Episode:124, Reward: -3111.037810
Episode:125, Reward: -3087.003906
Episode:126, Reward: -3019.705255
Episode:127, Reward: -3174.792603
Episode:128, Reward: -3054.461116
Episode:129, Reward: -3050.384850
Episode:130, Reward: -3127.516009
Episode:131, Reward: -3073.515850
Episode:132, Reward: -3090.728510
Episode:133, Reward: -3129.753454
Episode:134, Reward: -3146.045615
Episode:135, Reward: -3200.801012
Episode:136, Reward: -3120.539556
Episode:137, Reward: -3110.826859
Episode:138, Reward: -3059.299008
Episode:139, Reward: -3102.438068
Episode:140, Reward: -3196.801925
Episode:141, Reward: -3061.946523
Episode:142, Reward: -3279.705748
Episode:143, Reward: -3162.243291
Episode:144, Reward: -2989.191546
Episode:145, Reward: -3038.557168
Episode:146, Reward: -3127.157542
Episode:147, Reward: -3033.424521
Episode:148, Reward: -3056.468992
Episode:149, Reward: -3222.721368
Episode:150, Reward: -3058.977459
Episode:151, Reward: -3159.335516
Episode:152, Reward: -3071.097900
Episode:153, Reward: -3124.953626
Episode:154, Reward: -3070.165048
Episode:155, Reward: -3193.372583
Episode:156, Reward: -3181.395388
Episode:157, Reward: -3061.015078
Episode:158, Reward: -3015.506778
Episode:159, Reward: -3053.527798
Episode:160, Reward: -3068.813071
Episode:161, Reward: -3090.241290
Episode:162, Reward: -3151.577874
Episode:163, Reward: -3121.732915
Episode:164, Reward: -3142.945724
Episode:165, Reward: -3105.725148
Episode:166, Reward: -3138.043764
Episode:167, Reward: -3304.596998
Episode:168, Reward: -2986.756677
Episode:169, Reward: -3090.909004
Episode:170, Reward: -3096.809215
Episode:171, Reward: -3140.069548
Episode:172, Reward: -3129.909269
Episode:173, Reward: -3166.212688
Episode:174, Reward: -3081.608024
Episode:175, Reward: -3171.082298
Episode:176, Reward: -3003.945684
Episode:177, Reward: -3073.296289
Episode:178, Reward: -2979.107857
Episode:179, Reward: -3270.592240
Episode:180, Reward: -3067.755076
Episode:181, Reward: -3177.002182
Episode:182, Reward: -3084.944971
Episode:183, Reward: -3169.591893
Episode:184, Reward: -3102.292661
Episode:185, Reward: -3158.801975
Episode:186, Reward: -3125.299561
Episode:187, Reward: -3098.123779
Episode:188, Reward: -3132.646902
Episode:189, Reward: -3098.690210
Episode:190, Reward: -3290.011258
Episode:191, Reward: -2995.428774
Episode:192, Reward: -3162.799441
Episode:193, Reward: -3217.582966
Episode:194, Reward: -3074.776375
Episode:195, Reward: -3020.894810
Episode:196, Reward: -3173.539693
Episode:197, Reward: -2991.772886
Episode:198, Reward: -3214.900993
Episode:199, Reward: -3072.390241
Episode:200, Reward: -3194.939151
Episode:201, Reward: -3164.573635
Episode:202, Reward: -2934.769952
Episode:203, Reward: -3083.749749
Episode:204, Reward: -2989.350073
Episode:205, Reward: -3154.276750
Episode:206, Reward: -3006.804582
Episode:207, Reward: -3225.505513
Episode:208, Reward: -3210.510057
Episode:209, Reward: -3179.080581
Episode:210, Reward: -3020.930393
Episode:211, Reward: -3056.598257
Episode:212, Reward: -3196.862162
Episode:213, Reward: -3161.428998
Episode:214, Reward: -3097.993608
Episode:215, Reward: -3141.680437
Episode:216, Reward: -3064.196168
Episode:217, Reward: -3122.443764
Episode:218, Reward: -3205.460077
Episode:219, Reward: -3189.437912
Episode:220, Reward: -3095.874739
Episode:221, Reward: -3040.713012
Episode:222, Reward: -3108.928288
Episode:223, Reward: -3034.802195
Episode:224, Reward: -3009.105360
Episode:225, Reward: -3108.146806
Episode:226, Reward: -3053.083470
Episode:227, Reward: -3096.888716
Episode:228, Reward: -3077.068238
Episode:229, Reward: -3199.155450
Episode:230, Reward: -2985.847831
Episode:231, Reward: -3168.536756
Episode:232, Reward: -3164.120004
Episode:233, Reward: -3187.483314
Episode:234, Reward: -3006.340050
Episode:235, Reward: -3205.505741
Episode:236, Reward: -3058.049614
Episode:237, Reward: -3072.555648
Episode:238, Reward: -3025.865270
Episode:239, Reward: -3152.773015
Episode:240, Reward: -3084.399515
Episode:241, Reward: -3021.577226
Episode:242, Reward: -3154.774580
Episode:243, Reward: -3090.005770
Episode:244, Reward: -3140.679114
Episode:245, Reward: -3046.104567
Episode:246, Reward: -3134.008031
Episode:247, Reward: -3087.326979
Episode:248, Reward: -3096.756332
Episode:249, Reward: -2969.375334
Episode:250, Reward: -3253.760259
Episode:251, Reward: -3241.407012
Episode:252, Reward: -3129.541264
Episode:253, Reward: -3209.624504
Episode:254, Reward: -3108.414419
Episode:255, Reward: -3094.543546
Episode:256, Reward: -3013.096357
Episode:257, Reward: -3094.005434
Episode:258, Reward: -3102.925256
Episode:259, Reward: -3201.877504
Episode:260, Reward: -3163.938612
Episode:261, Reward: -3073.396697
Episode:262, Reward: -3180.067359
Episode:263, Reward: -3170.807243
Episode:264, Reward: -3157.438830
Episode:265, Reward: -3070.644973
Episode:266, Reward: -3183.408931
Episode:267, Reward: -3092.414452
Episode:268, Reward: -3181.824918
Episode:269, Reward: -3327.473841
Episode:270, Reward: -3037.304742
Episode:271, Reward: -3136.169986
Episode:272, Reward: -3025.096272
Episode:273, Reward: -3156.398026
Episode:274, Reward: -3109.220512
Episode:275, Reward: -3121.806505
Episode:276, Reward: -3178.388917
Episode:277, Reward: -3093.633832
Episode:278, Reward: -3149.051989
Episode:279, Reward: -3046.204894
Episode:280, Reward: -3050.082513
Episode:281, Reward: -3195.548703
Episode:282, Reward: -3040.250861
Episode:283, Reward: -3211.790602
Episode:284, Reward: -3155.016860
Episode:285, Reward: -3094.146123
Episode:286, Reward: -3153.364570
Episode:287, Reward: -3042.948195
Episode:288, Reward: -3106.501871
Episode:289, Reward: -3005.319723
Episode:290, Reward: -3179.484524
Episode:291, Reward: -3230.765503
Episode:292, Reward: -3084.467917
Episode:293, Reward: -3141.137586
Episode:294, Reward: -3114.007280
Episode:295, Reward: -3198.825040
Episode:296, Reward: -3035.994808
Episode:297, Reward: -3198.462833
Episode:298, Reward: -3183.167091
Episode:299, Reward: -3241.913076
Episode:300, Reward: -3039.773673
Episode:301, Reward: -3145.440838
Episode:302, Reward: -3079.132252
Episode:303, Reward: -3255.359354
Episode:304, Reward: -3123.540171
Episode:305, Reward: -3127.030698
Episode:306, Reward: -3120.045309
Episode:307, Reward: -3226.752255
Episode:308, Reward: -3158.174976
Episode:309, Reward: -3182.824708
Episode:310, Reward: -3097.004370
Episode:311, Reward: -3060.864980
Episode:312, Reward: -3081.293700
Episode:313, Reward: -3058.033034
Episode:314, Reward: -3119.241231
Episode:315, Reward: -3030.824709
Episode:316, Reward: -3131.562373
Episode:317, Reward: -3211.012422
Episode:318, Reward: -3096.287813
Episode:319, Reward: -3077.144636
Episode:320, Reward: -3103.941347
Episode:321, Reward: -3116.795000
Episode:322, Reward: -2956.723935
Episode:323, Reward: -3184.823184
Episode:324, Reward: -3107.670306
Episode:325, Reward: -2961.349020
Episode:326, Reward: -3088.209714
Episode:327, Reward: -2959.725665
Episode:328, Reward: -3024.451847
Episode:329, Reward: -3059.600442
Episode:330, Reward: -3129.429604
Episode:331, Reward: -3145.261511
Episode:332, Reward: -3153.312285
Episode:333, Reward: -3164.486818
Episode:334, Reward: -3162.596554
Episode:335, Reward: -3073.062594
Episode:336, Reward: -3093.618933
Episode:337, Reward: -3079.482710
Episode:338, Reward: -3090.268357
Episode:339, Reward: -3203.320015
Episode:340, Reward: -3064.433526
Episode:341, Reward: -3068.730661
Episode:342, Reward: -3219.960582
Episode:343, Reward: -3057.732560
Episode:344, Reward: -3077.999190
Episode:345, Reward: -3099.672995
Episode:346, Reward: -3015.044161
Episode:347, Reward: -3189.301056
Episode:348, Reward: -3019.086609
Episode:349, Reward: -3079.389634
Episode:350, Reward: -3162.168817
Episode:351, Reward: -3081.444582
Episode:352, Reward: -3143.762826
Episode:353, Reward: -3214.897130
Episode:354, Reward: -3048.067228
Episode:355, Reward: -3193.259854
Episode:356, Reward: -3130.165478
Episode:357, Reward: -3186.878673
Episode:358, Reward: -3056.601129
Episode:359, Reward: -3140.005622
Episode:360, Reward: -3255.987133
Episode:361, Reward: -3073.675232
Episode:362, Reward: -3138.723759
Episode:363, Reward: -3144.838024
Episode:364, Reward: -3151.510378
Episode:365, Reward: -3038.395367
Episode:366, Reward: -3205.926445
Episode:367, Reward: -3031.273407
Episode:368, Reward: -3016.755935
Episode:369, Reward: -3069.311489
Episode:370, Reward: -3080.779878
Episode:371, Reward: -3100.686237
Episode:372, Reward: -3189.901435
Episode:373, Reward: -3259.712010
Episode:374, Reward: -3039.392643
Episode:375, Reward: -2993.934959
Episode:376, Reward: -3096.396020
Episode:377, Reward: -3139.082341
Episode:378, Reward: -3116.608792
Episode:379, Reward: -3098.367732
Episode:380, Reward: -3125.073176
Episode:381, Reward: -3082.275778
Episode:382, Reward: -3030.202841
Episode:383, Reward: -3188.819476
Episode:384, Reward: -3315.549513
Episode:385, Reward: -3234.998384
Episode:386, Reward: -3050.684439
Episode:387, Reward: -3148.989627
Episode:388, Reward: -2942.689387
Episode:389, Reward: -3081.706624
Episode:390, Reward: -3189.645483
Episode:391, Reward: -3100.766244
Episode:392, Reward: -2984.154221
Episode:393, Reward: -3087.982450
Episode:394, Reward: -3163.650075
Episode:395, Reward: -3189.030953
Episode:396, Reward: -3124.663272
Episode:397, Reward: -3103.004289
Episode:398, Reward: -3130.571424
Episode:399, Reward: -3113.699385
Episode:400, Reward: -3237.481288
Episode:401, Reward: -2991.669556
Episode:402, Reward: -3147.510295
Episode:403, Reward: -3118.706874
Episode:404, Reward: -3220.814864
Episode:405, Reward: -3096.247163
Episode:406, Reward: -3090.111386
Episode:407, Reward: -3164.301332
Episode:408, Reward: -3158.206751
Episode:409, Reward: -3207.345602
Episode:410, Reward: -3126.370974
Episode:411, Reward: -3114.229337
Episode:412, Reward: -3086.254993
Episode:413, Reward: -3272.190175
Episode:414, Reward: -2986.275566
Episode:415, Reward: -3107.532013
Episode:416, Reward: -3177.343429
Episode:417, Reward: -3193.162106
Episode:418, Reward: -3138.702445
Episode:419, Reward: -3058.106099
Episode:420, Reward: -3133.603148
Episode:421, Reward: -3104.413275
Episode:422, Reward: -3169.950983
Episode:423, Reward: -3122.399346
Episode:424, Reward: -3211.559887
Episode:425, Reward: -3076.332389
Episode:426, Reward: -3111.551425
Episode:427, Reward: -3217.556484
Episode:428, Reward: -3271.880179
Episode:429, Reward: -3101.299659
Episode:430, Reward: -3106.164238
Episode:431, Reward: -3160.162955
Episode:432, Reward: -3196.585474
Episode:433, Reward: -3137.476980
Episode:434, Reward: -3170.984965
Episode:435, Reward: -3050.002099
Episode:436, Reward: -3271.181990
Episode:437, Reward: -3260.319550
